timestamp,gdp_quart,gdp_quart_growth,cpi,ppi,gdp_deflator,balance_trade,balance_trade_growth,us/eur_rub,brent,net_capital_export,gdp_annual,gdp_annual_growth,average_provision_of_build_contract,average_provision_of_build_contract_moscow,rts,micex,micex_rgbi_tr,micex_cbi_tr,deposits_growth,deposits_rate,mortgage_value,mortgage_growth,mortgage_rate,grp,grp_growth,income_per_cap,real_dispos_income_per_cap_growth,salary,salary_growth,retail_trade_turnover_growth,unemployment,employment,invest_fixed_capital_per_cap,profitable_enterpr_share,share_own_revenues,overdue_wages_per_cap,fin_res_per_cap,marriages_per_1000_cap,divorce_rate,construction_value,invest_fixed_assets_phys,pop_tural_increase,pop_migration,pop_total_inc,childbirth,mortality,housing_fund_sqm,lodging_sqm_per_cap,water_pipes_share,gas_share,electric_stove_share,average_life_exp,infant_mortarity_per_1000_cap,perital_mort_per_1000_cap,incidence_population,rent_price_4.room_bus,rent_price_3room_bus,rent_price_2room_bus,rent_price_1room_bus,rent_price_3room_eco,rent_price_2room_eco,rent_price_1room_eco,load_of_teachers_preschool_per_teacher,child_on_acc_pre_school,load_of_teachers_school_per_teacher,students_state_oneshift,provision_doctors,provision_nurse,load_on_doctors,power_clinics,hospital_beds_available_per_cap,hospital_bed_occupancy_per_year,theaters_viewers_per_1000_cap,seats_theather_rfmin_per_100000_cap,museum_visitis_per_100_cap,bandwidth_sports,population_reg_sports_share,students_reg_sports_share,apartment_build,apartment_fund_sqm
40179,10977,5,317.7,337.2,133.16,16.65,4.6,29.101,73.69,-0.476216216,38807.2,-0.078208582,5,7.83,1447.09,1284.48,131.35,189.86,-0.001041626,12.33,142968,1.550458844,13.72,8375.8638,0.187790661,30789.2,0.038,38410.5,0.136283954,106.8,0.018,0.69,63932,0.716,0.962915058,12865,233.3515293,8,3.9,553874.9,95.8,-0.3,14.1,13.8,10.7,11,216,18.71588251,99.9,44.4,55,74.2,6.1,5.87,696.6,100.08,78.14,61.94,43.22,40.75,0.1,32.84,721.4777653,5,1356.112607,85.5056,18,99.4,7872.848285,162.9,846,302,527,0.41,993,269768,22.37,63.03,22825,230310
40180,12086.5,3.8,320.7,337.2,133.16,16.65,21.5,30.169,77.64,-0.476216216,38807.2,-0.078208582,5,7.83,1584.29,1416.5,130.67,175.15,0.018590211,12.33,142968,1.550458844,13.72,8375.8638,0.187790661,30789.2,0.038,38410.5,0.136283954,106.8,0.018,0.69,63932,0.716,0.962915058,12865,233.3515293,8,3.9,553874.9,95.8,-0.3,14.1,13.8,10.7,11,216,18.71588251,99.9,44.4,55,74.2,6.1,5.87,696.6,100.08,78.14,61.94,45.23,40.75,41.96,27.94,721.4777653,5,1356.112607,85.5056,18,99.4,7872.848285,162.9,846,302,527,0.41,993,269768,22.37,63.03,22825,230310
40181,10977,5.1,315.1,337.2,133.16,16.954,21.5,31.478,78.16,-0.476216216,38807.2,-0.078208582,5,7.83,1488.67,1514.72,130.44,178.66,0.030734708,12.33,142968,1.550458844,13.72,8375.8638,0.187790661,30789.2,0.038,38410.5,0.136283954,106.8,0.018,0.69,63932,0.716,0.962915058,12865,233.3515293,8,3.9,553874.9,95.8,-0.3,14.1,13.8,10.7,11,216,18.71588251,99.9,44.4,55,74.2,6.1,5.87,696.6,144.03,85.09,61.94,43.22,40.75,0.1,28.88,721.4777653,5,1356.112607,85.5056,18,99.4,7872.848285,162.9,846,302,527,0.41,993,269768,22.37,63.03,22825,230310
40182,9995.8,4.1,315.1,337.2,133.16,17.199,16.8,29.905,80.12,-0.476216216,38807.2,-0.078208582,5,7.71,1297.91,1290.26,128.11,183.44,0.022713277,12.33,142968,1.550458844,13.72,8375.8638,0.187790661,30789.2,0.038,38410.5,0.136283954,106.8,0.018,0.69,63932,0.716,0.962915058,12865,233.3515293,8,3.9,553874.9,95.8,-0.3,14.1,13.8,10.7,11,216,18.71588251,99.9,44.4,55,74.2,6.1,5.87,696.6,139.43,85.09,55.47,43.22,41.76,41.96,34.52,721.4777653,5,1356.112607,85.5056,18,99.4,7872.848285,162.9,846,302,527,0.41,993,269768,22.37,63.03,22825,230310
40183,12086.5,5.2,317.7,337.2,133.16,15.641,18.6,29.836,80.59,-0.476216216,38807.2,-0.078208582,5,7.71,1475.25,1469.57,129.22,183.44,0.001960396,12.33,142968,1.550458844,13.72,8375.8638,0.187790661,30789.2,0.038,38410.5,0.136283954,106.8,0.018,0.69,63932,0.716,0.962915058,12865,233.3515293,8,3.9,553874.9,95.8,-0.3,14.1,13.8,10.7,11,216,18.71588251,99.9,44.4,55,74.2,6.1,5.87,696.6,156.84,78.77,61.94,43.22,40.75,0.1,30.29,721.4777653,5,1356.112607,85.5056,18,99.4,7872.848285,162.9,846,302,527,0.41,993,269768,22.37,63.03,22825,230310
40184,9995.8,4.1,315.1,337.2,133.16,19.27,18.7,29.715,81.89,-0.476216216,38807.2,-0.078208582,5,7.83,1532.09,1474.71,130.93,184.87,0.030734708,12.33,142968,1.550458844,13.72,8375.8638,0.187790661,30789.2,0.038,38410.5,0.136283954,106.8,0.018,0.69,63932,0.716,0.962915058,12865,233.3515293,8,3.9,553874.9,95.8,-0.3,14.1,13.8,10.7,11,216,18.71588251,99.9,44.4,55,74.2,6.1,5.87,696.6,100.08,78.77,61.94,43.22,40.75,41.96,32.87,721.4777653,5,1356.112607,85.5056,18,99.4,7872.848285,162.9,846,302,527,0.41,993,269768,22.37,63.03,22825,230310
40185,9995.8,3.1,320.7,337.2,133.16,15.641,8,29.775,81.51,-0.476216216,38807.2,-0.078208582,5,7.83,1590.13,1391.87,129.56,187.97,0.016186182,12.33,142968,1.550458844,13.72,8375.8638,0.187790661,30789.2,0.038,38410.5,0.136283954,106.8,0.018,0.69,63932,0.716,0.962915058,12865,233.3515293,8,3.9,553874.9,95.8,-0.3,14.1,13.8,10.7,11,216,18.71588251,99.9,44.4,55,74.2,6.1,5.87,696.6,100.08,78.14,58.8,43.22,41.76,0.1,34.35,721.4777653,5,1356.112607,85.5056,18,99.4,7872.848285,162.9,846,302,527,0.41,993,269768,22.37,63.03,22825,230310
40186,10977,4.1,319.8,337.2,133.16,15.614,18.6,29.775,81.37,-0.476216216,38807.2,-0.078208582,5,7.83,1612.65,1384.66,129.2,187.97,0.026580671,12.33,142968,1.550458844,13.72,8375.8638,0.187790661,30789.2,0.038,38410.5,0.136283954,106.8,0.018,0.69,63932,0.716,0.962915058,12865,233.3515293,8,3.9,553874.9,95.8,-0.3,14.1,13.8,10.7,11,216,18.71588251,99.9,44.4,55,74.2,6.1,5.87,696.6,100.08,78.14,61.94,45.23,40.75,41.96,29.78,721.4777653,5,1356.112607,85.5056,18,99.4,7872.848285,162.9,846,302,527,0.41,993,269768,22.37,63.03,22825,230310
40187,9995.8,5,319.8,337.2,133.16,16.954,18.1,29.775,81.37,-0.476216216,38807.2,-0.078208582,5,7.83,1394.12,1416.69,128.83,190.77,0.030734708,12.33,142968,1.550458844,13.72,8375.8638,0.187790661,30789.2,0.038,38410.5,0.136283954,106.8,0.018,0.69,63932,0.716,0.962915058,12865,233.3515293,8,3.9,553874.9,95.8,-0.3,14.1,13.8,10.7,11,216,18.71588251,99.9,44.4,55,74.2,6.1,5.87,696.6,156.84,85.6,61.94,45.44,40.75,0.1,30.74,721.4777653,5,1356.112607,85.5056,18,99.4,7872.848285,162.9,846,302,527,0.41,993,269768,22.37,63.03,22825,230310
40188,10977,4.7,320.7,337.2,133.16,16.104,8,29.775,81.37,-0.476216216,38807.2,-0.078208582,5,7.83,1613.41,1477.71,128.9,192.39,0.018590211,12.33,142968,1.550458844,13.72,8375.8638,0.187790661,30789.2,0.038,38410.5,0.136283954,106.8,0.018,0.69,63932,0.716,0.962915058,12865,233.3515293,8,3.9,553874.9,95.8,-0.3,14.1,13.8,10.7,11,216,18.71588251,99.9,44.4,55,74.2,6.1,5.87,696.6,144.03,78.14,61.94,43.29,40.75,0.1,30.74,721.4777653,5,1356.112607,85.5056,18,99.4,7872.848285,162.9,846,302,527,0.41,993,269768,22.37,63.03,22825,230310
