sub_area,area_m,raion_popul,green_zone_part,indust_part,children_preschool,preschool_quota,preschool_education_centers_raion,children_school,school_quota,school_education_centers_raion,school_education_centers_top_20_raion,hospital_beds_raion,healthcare_centers_raion,university_top_20_raion,sport_objects_raion,additional_education_raion,culture_objects_top_25,culture_objects_top_25_raion,shopping_centers_raion,office_raion,thermal_power_plant_raion,incineration_raion,oil_chemistry_raion,radiation_raion,railroad_terminal_raion,big_market_raion,nuclear_reactor_raion,detention_facility_raion,full_all,male_f,female_f,young_all,young_male,young_female,work_all,work_male,work_female,ekder_all,ekder_male,ekder_female,0_6_all,0_6_male,0_6_female,7_14_all,7_14_male,7_14_female,0_17_all,0_17_male,0_17_female,16_29_all,16_29_male,16_29_female,0_13_all,0_13_male,0_13_female,raion_build_count_with_material_info,build_count_block,build_count_wood,build_count_frame,build_count_brick,build_count_monolith,build_count_panel,build_count_foam,build_count_slag,build_count_mix,raion_build_count_with_builddate_info,build_count_before_1920,build_count_1921-1945,build_count_1946-1970,build_count_1971-1995,build_count_after_1995
Molzhaninovskoe,15816236.43,3521,0.004675994,0.0,266,0,0,252,1012,1,0,1321.845238,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,51455,24386,27069,0.15393354160749786,0.07384265833570008,0.08009088327179778,0.5853450724226072,0.3183754615166146,0.26696961090599264,0.2607213859698949,0.09315535359272933,0.16756603237716558,266,128,138,252,119,133,590,283,307,12706,6628,6078,494,240,254,866.0,0.017321016,0.752886836,0.03926097,0.115473441,0.005773672,0.0,0.0,0.066974596,0.0023094689999999998,866.0,0.036951501,0.30369515,0.565819861,0.02886836,0.064665127
Vostochnoe,3284350.0110000004,12327,0.08141001,0.394094211,712,943,3,662,1924,3,0,35.0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,76308,34785,41523,0.11714123468808307,0.05994970390200373,0.05719153078607934,0.6544982558611179,0.3278981098401882,0.3266001460209297,0.22836050945079905,0.06546605013385252,0.16289445931694654,712,364,348,662,333,329,1625,829,796,18175,8622,9553,1295,667,628,68.0,0.0,0.014705882,0.0,0.852941176,0.0,0.132352941,0.0,0.0,0.0,68.0,0.0,0.20588235300000002,0.6176470589999999,0.161764706,0.014705882
Nizhegorodskoe,7506452.02,43795,0.007670134,0.486245621,2418,852,2,2514,2012,3,0,1321.845238,0,0,7,0,0,0,6,19,1,0,0,1,0,0,0,0,19940,9400,10540,0.12081287818244092,0.06265555428701906,0.05815732389542185,0.6772462609886973,0.3606119420025117,0.31663431898618566,0.20194086082886173,0.05955017696084028,0.14239068386802145,2418,1224,1194,2514,1328,1186,5866,3035,2831,4851,2329,2522,4632,2399,2233,188.0,0.127659574,0.0,0.0,0.781914894,0.010638298000000001,0.079787234,0.0,0.0,0.0,188.0,0.0,0.026595745,0.808510638,0.13297872300000002,0.031914894
Donskoe,5686537.395,48439,0.073520961,0.000699,3229,0,1,3369,2022,2,0,4129.0,0,0,10,3,1,1,3,24,0,0,0,1,0,0,0,0,91100,39227,51873,0.1451929230578666,0.07264807283387353,0.07254485022399307,0.593261628027003,0.29079873655525507,0.302462891471748,0.2615454489151304,0.08187617415718738,0.17966927475794298,3229,1612,1617,3369,1701,1668,7917,3962,3955,17864,8474,9390,6237,3131,3106,191.0,0.188481675,0.0,0.0,0.7068062829999999,0.015706806,0.089005236,0.0,0.0,0.0,190.0,0.031578947,0.142105263,0.6105263160000001,0.142105263,0.073684211
Begovoe,4048456.7819999997,41504,0.001879375,0.327018035,2263,627,3,2270,2088,5,0,2500.0,1,0,15,0,0,0,0,23,0,0,0,0,0,0,0,0,73007,33641,39366,0.11666345412490363,0.06175308404009252,0.0549103700848111,0.6248313415574402,0.3131505397070162,0.31168080185042407,0.2585052043176561,0.08059464148033925,0.17791056283731688,2263,1212,1051,2270,1208,1062,5459,2896,2563,16025,8162,7863,4254,2260,1994,162.0,0.09876543199999999,0.0,0.0,0.827160494,0.0,0.061728395,0.0,0.012345678999999998,0.0,162.0,0.043209877,0.185185185,0.592592593,0.172839506,0.00617284
Kotlovka,3998216.265,64317,0.25871247199999997,0.014423113999999999,3977,1094,1,3806,2204,1,0,1321.845238,0,0,2,1,0,0,3,4,0,0,0,0,0,0,0,0,153248,76265,76983,0.12879953977952951,0.06623443257614628,0.06256510720338324,0.6448683862742354,0.324797487444999,0.32007089882923645,0.22633207394623506,0.061616679882457205,0.16471539406377786,3977,2026,1951,3806,1983,1823,9216,4729,4487,34556,17958,16598,7321,3780,3541,249.0,0.409638554,0.0,0.0,0.425702811,0.004016064000000001,0.16064257,0.0,0.0,0.0,249.0,0.004016064000000001,0.008032129,0.8152610440000001,0.15261044199999999,0.020080321
Jakimanka,4800968.266,26578,0.294717517,0.0,1792,0,1,1660,2223,1,1,1786.0,1,1,20,1,0,0,5,39,0,0,0,0,0,0,0,0,102726,46180,56546,0.1369177515238167,0.06524192941530589,0.0716758221085108,0.6261569719316729,0.3133794867935887,0.3127774851380841,0.2369252765445105,0.08010384528557453,0.15682143125893597,1792,840,952,1660,789,871,3959,1892,2067,20788,9936,10852,3255,1535,1720,180.0,0.094444444,0.022222222000000003,0.0,0.7444444440000001,0.088888889,0.04444444400000001,0.0,0.005555556,0.0,177.0,0.35593220299999995,0.141242938,0.248587571,0.07344632799999999,0.18079096
Vnukovo,15319902.35,21040,0.051548925999999995,0.036270089,1491,1105,1,1318,2231,1,0,200.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1285626,611775,673851,0.14168250950570344,0.07362167300380228,0.06806083650190115,0.6395912547528517,0.3295152091254753,0.31007604562737645,0.21872623574144487,0.05865019011406844,0.16007604562737643,1491,778,713,1318,685,633,3307,1699,1608,281232,142554,138678,2645,1379,1266,1233.0,0.02027575,0.627737226,0.078669911,0.206001622,0.01459854,0.01459854,0.0,0.03325223,0.00486618,1233.0,0.00081103,0.140308191,0.685320357,0.081914031,0.091646391
Rostokino,3497818.591,37502,0.146940785,0.210473241,2334,1040,1,2398,2260,2,0,1994.0,3,1,8,5,0,0,0,2,0,0,0,0,0,0,0,0,175518,82886,92632,0.1352994506959629,0.06802303877126553,0.06727641192469735,0.6089541891099142,0.30979681083675537,0.29915737827315875,0.255746360194123,0.07828915791157805,0.17745720228254494,2334,1175,1159,2398,1207,1191,5652,2877,2775,35541,17988,17553,4480,2252,2228,152.0,0.302631579,0.0,0.0,0.552631579,0.052631579000000005,0.092105263,0.0,0.0,0.0,152.0,0.0,0.013157895,0.7763157890000001,0.151315789,0.059210526
Kapotnja,8097031.584,31167,0.10913530699999999,0.407276235,1683,1033,2,1768,2367,2,0,370.0,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,219609,102106,117503,0.11829820001925113,0.061411107902589274,0.056887092116661854,0.6729874546796291,0.3900599993582956,0.28292745532133345,0.20871434530111976,0.06189238617768794,0.14682195912343182,1683,900,783,1768,889,879,4064,2115,1949,43821,21377,22444,3208,1671,1537,81.0,0.481481481,0.0,0.0,0.25925925899999996,0.0,0.25925925899999996,0.0,0.0,0.0,81.0,0.0,0.037037037,0.46913580200000005,0.39506172799999995,0.09876543199999999
Silino,9780189.547,37807,0.37199000200000004,0.136244425,2427,1427,3,2370,2506,3,0,1321.845238,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,38075,17162,20913,0.13391699949744756,0.06588726955325733,0.06802972994419022,0.5963974925278388,0.30266881794376704,0.29372867458407176,0.2696855079747137,0.08173089639484751,0.18795461157986615,2427,1189,1238,2370,1187,1183,5561,2716,2845,7365,3630,3735,4510,2236,2274,61.0,0.491803279,0.11475409800000001,0.0,0.09836065599999999,0.016393443,0.278688525,0.0,0.0,0.0,61.0,0.0,0.032786885,0.14754098400000001,0.7540983609999999,0.06557377
Marfino,2104404.816,26943,0.033500178,0.08761909,1643,1468,1,1497,2560,2,0,1321.845238,1,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,80917,36124,44793,0.12481906246520431,0.06417251234086775,0.06064655012433656,0.5898006903462866,0.29688601863192665,0.2929146717143599,0.2853802471885091,0.09037597891845749,0.1950042682700516,1643,846,797,1497,780,717,3771,1923,1848,14152,6954,7198,2953,1519,1434,137.0,0.182481752,0.0,0.0,0.6204379560000001,0.0,0.197080292,0.0,0.0,0.0,137.0,0.0,0.00729927,0.810218978,0.072992701,0.10948905099999999
Levoberezhnoe,6424173.859,51455,0.216360617,0.060753049,2672,1766,2,2787,2730,2,0,520.0,0,0,3,0,0,0,7,2,0,0,0,1,0,0,0,0,96959,43988,52971,0.11341949276066465,0.05993586629093382,0.05348362646973083,0.6186376445437761,0.32474978136235544,0.2938878631814207,0.2679428626955592,0.08924302788844622,0.17869983480711302,2672,1392,1280,2787,1484,1303,6589,3486,3103,19189,9275,9914,5133,2715,2418,167.0,0.215568862,0.0,0.0,0.245508982,0.065868263,0.47305389200000003,0.0,0.0,0.0,164.0,0.0,0.006097561,0.603658537,0.20731707300000002,0.18292682899999999
Savelovskoe,2641243.496,57995,0.015899966,0.051942062000000004,4119,884,2,4017,2812,2,0,800.0,2,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,3521,1709,1812,0.14799551685490128,0.07479955168549013,0.07319596516941115,0.6104836623846883,0.30518148116216914,0.3053021812225192,0.24152082076041037,0.07186826450556083,0.16965255625484957,4119,2042,2077,4017,2061,1956,9363,4728,4635,625,323,302,7723,3901,3822,254.0,0.25984252,0.003937008,0.0,0.614173228,0.011811024,0.106299213,0.0,0.0,0.003937008,255.0,0.003921569000000001,0.035294118,0.756862745,0.149019608,0.054901961
Metrogorodok,27456466.68,36154,0.8529228409999999,0.086885265,2153,725,2,2277,2837,3,0,1547.0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,103746,46999,56747,0.13113348453836365,0.06746141505780827,0.0636720694805554,0.6243569176301378,0.30851358079327323,0.3158433368368645,0.2445095978314986,0.07271671184377938,0.1717928859877192,2153,1095,1058,2277,1184,1093,5492,2833,2659,26633,12714,13919,4152,2134,2018,142.0,0.274647887,0.0,0.0,0.338028169,0.0,0.387323944,0.0,0.0,0.0,142.0,0.007042254,0.007042254,0.816901408,0.11971831,0.049295775
Mar'ina Roshha,4684027.803,65972,0.015525088999999999,0.212515361,3518,1070,1,3293,3068,1,0,628.0,3,0,7,4,0,0,7,16,0,0,0,0,1,0,0,0,26943,12163,14780,0.10837931243557873,0.05608439944218759,0.05229491299339113,0.6589462196083187,0.3454647426180804,0.31348147699023826,0.23267446795610258,0.0695598132541078,0.1631146547019948,3518,1783,1735,3293,1739,1554,8031,4173,3858,5000,2407,2593,6382,3296,3086,227.0,0.308370044,0.004405286,0.0,0.40528634399999997,0.017621145,0.259911894,0.0,0.004405286,0.0,227.0,0.035242291,0.0969163,0.528634361,0.259911894,0.079295154
Severnoe,10416574.64,27992,0.146446907,0.197367951,2510,1135,2,2423,3298,2,0,32.0,0,0,1,4,0,0,1,1,0,0,0,0,0,0,0,0,122873,54937,67936,0.18712489282652187,0.094276936267505,0.09284795655901686,0.6980208631037439,0.33870391540440126,0.3593169476993427,0.11485424406973421,0.030044298370963132,0.08480994569877108,2510,1265,1245,2423,1225,1198,5799,2934,2865,24357,11160,13197,4648,2342,2306,479.0,0.018789144,0.202505219,0.004175365,0.6617954070000001,0.012526096,0.08768267199999999,0.0,0.012526096,0.0,479.0,0.008350731,0.114822547,0.409185804,0.022964508999999998,0.444676409
Butyrskoe,5027634.0030000005,68630,0.045674312,0.460556389,4571,1784,1,4386,3337,1,0,1321.845238,1,0,4,4,0,0,5,14,0,0,0,0,1,0,0,0,155572,73864,81708,0.13852542619845548,0.07326242168148041,0.06526300451697509,0.6272038467142649,0.32595075040069943,0.3012530963135655,0.2342707270872796,0.08169896546699694,0.1525717616202827,4571,2367,2204,4386,2362,2024,10572,5580,4992,32228,16752,15476,8482,4481,4001,214.0,0.275700935,0.0,0.0,0.46728972,0.014018692,0.23364486,0.0,0.009345794000000001,0.0,214.0,0.0,0.009345794000000001,0.738317757,0.196261682,0.056074766
Pokrovskoe Streshnevo,13089795.79,53786,0.183968555,0.150817539,3051,922,2,3433,3577,4,0,2643.0,4,0,10,2,0,0,5,4,0,0,0,1,0,0,0,0,178473,83803,94670,0.12886252928271297,0.062116535901535715,0.06674599338117726,0.6163127951511546,0.31203287100732535,0.30427992414382926,0.2548246755661325,0.07635816011601532,0.17846651545011713,3051,1510,1541,3433,1635,1798,7727,3751,3976,44237,22136,22101,6046,2929,3117,273.0,0.062271062,0.018315018,0.0,0.567765568,0.212454212,0.11355311400000001,0.0,0.025641026,0.0,271.0,0.0,0.066420664,0.535055351,0.136531365,0.26199262
Altuf'evskoe,3294351.983,55125,0.024332829,0.298204575,3559,857,2,4048,3669,3,0,1321.845238,1,0,2,0,0,0,3,3,0,0,0,1,0,0,0,0,78418,40148,38270,0.14766439909297052,0.0769342403628118,0.07073015873015873,0.6278639455782313,0.3199092970521542,0.3079546485260771,0.22447165532879818,0.06666666666666667,0.15780498866213152,3559,1841,1718,4048,2128,1920,9115,4791,4324,20342,10622,9720,7148,3732,3416,119.0,0.201680672,0.0,0.0,0.39495798299999996,0.008403361,0.39495798299999996,0.0,0.0,0.0,119.0,0.0,0.0,0.605042017,0.352941176,0.042016807
Sviblovo,4441296.195,60315,0.13797573400000002,0.17891679600000002,3694,2057,1,3594,3741,2,0,192.0,1,0,4,6,0,0,5,4,0,0,0,0,0,0,0,0,37502,17105,20397,0.12776257978943878,0.06157672220840587,0.06618585758103292,0.6679764569344276,0.3318245875818619,0.3361518693525657,0.20426096327613363,0.05736549780319987,0.14689546547293375,3694,1821,1873,3594,1679,1915,8741,4311,4430,7290,3575,3715,6859,3295,3564,180.0,0.322222222,0.0,0.0,0.33888888899999997,0.0,0.333333333,0.0,0.005555556,0.0,177.0,0.0,0.0,0.6949152540000001,0.169491525,0.13559322
Matushkino,4708040.47,38075,0.27170151600000003,0.31019913,2448,2080,3,2748,3885,4,0,1321.845238,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,85219,39138,46081,0.14634274458305976,0.07821405121470781,0.06812869336835194,0.5886539724228497,0.2960735390676297,0.29258043335521994,0.2650032829940906,0.07645436638214051,0.18854891661195008,2448,1294,1154,2748,1478,1270,6332,3374,2958,21787,10891,10896,4828,2603,2225,107.0,0.214953271,0.0,0.0,0.093457944,0.14953271,0.542056075,0.0,0.0,0.0,107.0,0.0,0.0,0.429906542,0.140186916,0.429906542
Krasnosel'skoe,4996777.402,47245,0.011047989,0.246623602,2287,659,2,2940,4091,6,0,1321.845238,3,0,8,3,0,0,6,45,0,0,0,0,1,0,0,0,55590,23997,31593,0.120012699756588,0.060874166578473915,0.059138533178114086,0.6416340353476558,0.3182982326172082,0.32333580273044765,0.23835326489575617,0.07484389882527251,0.16350936607048364,2287,1129,1158,2940,1506,1434,6441,3261,3180,11895,5252,6643,4872,2447,2425,232.0,0.107758621,0.004310345,0.0,0.7629310340000001,0.038793102999999995,0.047413792999999996,0.0,0.030172413999999998,0.00862069,231.0,0.298701299,0.19913419899999998,0.272727273,0.12121212099999999,0.10822510800000001
Preobrazhenskoe,5586342.585,83502,0.086219843,0.040242764,3381,1820,2,3478,4169,3,1,2729.0,3,0,9,3,0,0,1,11,0,0,0,0,0,0,0,0,57405,25766,31639,0.08844099542525928,0.04441809777011329,0.044022897655145984,0.6221527628080764,0.3110344662403296,0.31111829656774687,0.2894062417666643,0.09241694809705157,0.1969892936696127,3381,1731,1650,3478,1711,1767,8444,4243,4201,11155,5546,5609,6372,3204,3168,251.0,0.290836653,0.0,0.0,0.48207171299999996,0.027888446,0.199203187,0.0,0.0,0.0,251.0,0.019920319,0.08764940199999999,0.621513944,0.21912350600000002,0.051792829000000006
Izmajlovo,15045565.2,102828,0.637398943,0.006076152,4992,1313,4,5285,4339,6,0,645.0,6,0,16,3,0,0,6,0,0,0,0,1,0,0,0,0,122862,54990,67872,0.10685805422647528,0.054994748512078424,0.05186330571439686,0.6369763099544871,0.3322733107713852,0.3047029991831019,0.2561656358190376,0.07742054693274206,0.17874508888629556,4992,2602,2390,5285,2693,2592,13203,6882,6321,24605,11742,12863,9633,4966,4667,531.0,0.16007533,0.07344632799999999,0.005649718000000001,0.670433145,0.024482109,0.060263653,0.0,0.005649718000000001,0.0,530.0,0.003773585,0.00754717,0.8339622640000001,0.111320755,0.043396225999999996
Prospekt Vernadskogo,4695913.353999999,61039,0.260459642,0.0,3201,866,5,3374,4385,5,0,620.0,1,1,9,5,0,0,2,5,0,0,0,0,0,0,0,0,118843,60240,58603,0.1151558839430528,0.05865102639296188,0.05650485755009092,0.6807778633332787,0.33694850833073936,0.34382935500253936,0.20406625272366846,0.06022379134651616,0.14384246137715231,3201,1631,1570,3374,1728,1646,8184,4225,3959,25783,14387,11396,6146,3149,2997,216.0,0.157407407,0.0,0.0,0.050925925999999996,0.217592593,0.574074074,0.0,0.0,0.0,216.0,0.0,0.0,0.666666667,0.083333333,0.25
Juzhnoportovoe,4579593.033,71715,0.040431201,0.21843974,4407,1988,2,4472,4390,2,0,1450.0,4,0,4,1,0,0,7,6,0,0,0,0,0,1,0,0,101708,46257,55451,0.1318831485742174,0.06814473959422715,0.06373840897999024,0.6181970299100606,0.31409049710660253,0.3041065328034581,0.24991982151572195,0.07250923795579725,0.1774105835599247,4407,2275,2132,4472,2316,2156,10624,5483,5141,21121,10350,10771,8279,4283,3996,217.0,0.082949309,0.0,0.0,0.746543779,0.032258065,0.138248848,0.0,0.0,0.0,217.0,0.0,0.101382488,0.686635945,0.110599078,0.101382488
Vostochnoe Izmajlovo,3799999.352,76308,0.232655892,0.14966637300000002,5096,1838,2,4789,4474,3,0,4087.0,4,0,6,3,0,0,1,2,0,0,0,1,0,0,0,0,118945,53052,65893,0.13799339518792264,0.07055616711222938,0.06743722807569325,0.6393825024899094,0.3184069822299104,0.3209755202599989,0.22262410232216806,0.06688682706924569,0.15573727525292236,5096,2575,2521,4789,2478,2311,11868,6085,5783,23760,11710,12050,9313,4745,4568,247.0,0.19838056699999998,0.0,0.0,0.39676113399999996,0.028340081,0.372469636,0.0,0.004048583,0.0,247.0,0.0,0.0,0.785425101,0.17004048600000002,0.044534412999999995
Zamoskvorech'e,4280227.098,55590,0.019885461,1.8e-09,3344,2224,4,3681,4487,4,0,1815.0,2,3,13,1,0,0,5,73,0,0,0,0,1,0,0,0,108171,49958,58213,0.13601367152365534,0.06623493434070876,0.06977873718294657,0.6184565569347005,0.29246267314265156,0.3259938837920489,0.24552977154164418,0.07298075193380105,0.17254901960784313,3344,1681,1663,3681,1760,1921,8477,4084,4393,24212,12067,12145,6588,3227,3361,377.0,0.071618037,0.037135279,0.021220159,0.798408488,0.037135279,0.034482759,0.0,0.0,0.0,375.0,0.370666667,0.194666667,0.28,0.061333333,0.093333333
Lefortovo,8993640.418,89971,0.066940871,0.306977489,4993,1768,4,5148,4564,4,0,1575.0,5,1,12,1,0,0,7,14,0,0,0,1,0,0,0,1,142243,63135,79108,0.11979415589467718,0.06160874059419146,0.05818541530048571,0.6545998154961044,0.35697057940892063,0.29762923608718367,0.22560602860921852,0.07081170599415368,0.15479432261506484,4993,2549,2444,5148,2652,2496,12229,6378,5851,25730,12344,13386,9480,4876,4604,285.0,0.23859649100000002,0.0,0.0035087720000000003,0.557894737,0.0,0.19298245600000002,0.0,0.0070175440000000006,0.0,285.0,0.021052632,0.175438596,0.48771929799999997,0.28070175399999997,0.035087718999999996
Alekseevskoe,5234028.171,78418,0.044073572000000005,0.20014680199999998,3761,1037,3,3975,4658,3,0,770.0,2,0,9,2,0,0,0,8,0,0,0,1,0,0,0,0,1359171,635195,723976,0.104389298375373,0.05500012752174246,0.049389170853630544,0.674832308908669,0.3920400928358285,0.28279221607284044,0.22077839271595806,0.06493407125914968,0.15584432145680838,3761,1955,1806,3975,2111,1864,9514,4891,4623,283678,140881,142797,7263,3806,3457,250.0,0.28800000000000003,0.0,0.0,0.64,0.0,0.07200000000000001,0.0,0.0,0.0,248.0,0.0,0.068548387,0.75,0.161290323,0.02016129
Savelki,7759253.984,32071,0.278314608,0.14890389099999998,1888,1065,3,1952,4674,3,0,1430.0,3,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,37807,17024,20783,0.12784135200024946,0.06504318543232203,0.06279816656792742,0.6223691185182876,0.3278662966542983,0.2945028218639893,0.249789529481463,0.07187178447818902,0.17791774500327398,1888,972,916,1952,992,960,4848,2561,2287,7610,3765,3845,3592,1848,1744,123.0,0.21138211399999998,0.17073170699999998,0.0,0.26829268300000003,0.081300813,0.25203252,0.0,0.016260163,0.0,123.0,0.016260163,0.10569105699999999,0.495934959,0.081300813,0.300813008
Filevskij Park,9629358.472000001,89467,0.34375398799999995,0.23861713,3903,1522,5,3889,4904,5,0,705.0,3,0,18,1,0,0,6,6,0,0,0,1,0,0,0,0,112804,51631,61173,0.09270457263572043,0.04734706651614562,0.045357506119574814,0.7278102540601563,0.4334782657292633,0.29433198833089297,0.1794851733041233,0.05244391786915846,0.12704125543496483,3903,1989,1914,3889,1971,1918,9249,4691,4558,23768,11420,12348,7332,3715,3617,295.0,0.08813559300000001,0.054237288,0.023728813999999997,0.576271186,0.023728813999999997,0.206779661,0.0,0.023728813999999997,0.003389831,295.0,0.003389831,0.033898305,0.606779661,0.22711864399999998,0.128813559
Sokol,3496889.653,57107,0.067926965,0.174739084,2982,1744,4,3379,4960,6,0,100.0,0,0,5,10,0,0,3,9,0,0,0,0,0,0,0,0,57995,26205,31790,0.1191972963034304,0.06286444744076908,0.05633284886266132,0.6390810233421472,0.3277881870873973,0.31129283625474985,0.2417216803544224,0.0806906333724412,0.1610310469819812,2982,1549,1433,3379,1804,1575,7887,4153,3734,12073,5873,6200,5981,3138,2843,335.0,0.050746269000000004,0.125373134,0.041791045,0.746268657,0.014925373,0.014925373,0.0,0.005970149,0.0,336.0,0.0,0.327380952,0.592261905,0.029761905,0.050595238
Ajeroport,4662813.069,73007,0.109947031,0.050272014000000004,4348,2058,3,4231,4975,6,1,1020.0,0,1,4,3,0,0,3,14,0,0,0,0,0,0,0,0,1100773,502659,598114,0.12534414508197844,0.0648841891873382,0.06045995589464024,0.6049556891804896,0.31158656019285824,0.29336912898763134,0.269700165737532,0.08432068157847877,0.18537948415905325,4348,2225,2123,4231,2201,2030,10478,5479,4999,234407,115098,119309,8098,4177,3921,332.0,0.093373494,0.006024096,0.0,0.771084337,0.036144578,0.090361446,0.0,0.003012048,0.0,332.0,0.006024096,0.075301205,0.740963855,0.11746988,0.060240964
Staroe Krjukovo,4389199.094,28537,0.033225884,0.13012277,1908,1860,2,1986,5038,3,0,1321.845238,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32071,14906,17165,0.14728247538283631,0.0770578547149315,0.07022462066790483,0.580894978449031,0.30353576059151277,0.2773592178575183,0.2718225461681326,0.08182359743490907,0.18999894873322354,1908,994,914,1986,1036,950,4735,2476,2259,7355,4086,3269,3645,1903,1742,96.0,0.229166667,0.28125,0.072916667,0.041666667000000004,0.03125,0.34375,0.0,0.0,0.0,96.0,0.0,0.052083332999999996,0.3125,0.40625,0.229166667
Sokol'niki,10320473.23,57405,0.523439075,0.042307270999999994,2459,933,5,2810,5050,5,0,4849.0,3,0,17,6,0,0,6,9,0,0,0,0,0,0,0,1,85956,40724,45232,0.09898092500653254,0.0509537496733734,0.04802717533315913,0.6097552478007142,0.3046772929187353,0.3050779548819789,0.29126382719275323,0.0932148767528961,0.19804895043985715,2459,1241,1218,2810,1472,1338,6510,3345,3165,19445,10085,9360,4884,2507,2377,217.0,0.105990783,0.004608295,0.0,0.640552995,0.055299539,0.188940092,0.0,0.0,0.004608295,216.0,0.050925925999999996,0.175925926,0.41666666700000005,0.268518519,0.087962963
Arbat,2081627.761,28179,0.009851158,0.0,1379,1104,3,1423,5155,4,0,562.0,1,0,5,1,1,1,8,37,0,0,0,0,0,0,0,0,741887,336985,404902,0.10624933461088044,0.05567976152453955,0.05056957308634089,0.6107030057844494,0.32488732744242166,0.28581567834202776,0.28304765960467015,0.09929380034777671,0.18375385925689344,1379,721,658,1423,761,662,3360,1750,1610,150479,73186,77293,2646,1409,1237,251.0,0.011952191000000001,0.0,0.0,0.9083665340000001,0.047808765,0.027888446,0.0,0.0,0.003984064,251.0,0.621513944,0.103585657,0.119521912,0.059760956,0.09561753
Sokolinaja Gora,7905261.321,85956,0.014925117,0.319809354,4257,643,4,4756,5180,4,0,2857.0,5,1,14,4,0,0,8,16,0,0,0,1,0,0,0,0,85083,37595,47488,0.11223183954581414,0.06105449299641677,0.051177346549397366,0.6437828656521941,0.33650937689050214,0.307273488761692,0.24398529480199171,0.07621341151286705,0.16777188328912468,4257,2227,2030,4756,2651,2105,11088,6038,5050,16292,7683,8609,8464,4554,3910,348.0,0.270114943,0.0,0.0,0.6235632179999999,0.020114943,0.08620689699999999,0.0,0.0,0.0,347.0,0.005763689000000001,0.051873199,0.7608069159999999,0.144092219,0.037463977
Dorogomilovo,7798452.185,67710,0.199430788,0.081943463,2621,485,5,2738,5194,7,0,1321.845238,1,0,10,0,0,0,4,20,1,0,0,1,1,0,0,0,21040,9716,11324,0.0847585290208241,0.043080785703736524,0.04167774331708758,0.6411608329641116,0.3568896765618077,0.28427115640230394,0.27408063801506427,0.09304386353566682,0.18103677447939742,2621,1367,1254,2738,1352,1386,6674,3402,3272,4630,2311,2319,4999,2535,2464,187.0,0.026737967999999997,0.0,0.0,0.930481283,0.021390374,0.016042781000000002,0.0,0.005347594000000001,0.0,187.0,0.021390374,0.310160428,0.550802139,0.080213904,0.037433155
Birjulevo Zapadnoe,8464344.053,85721,0.075206255,0.521867054,5226,2901,4,6149,5226,4,0,1321.845238,0,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0,145088,68858,76230,0.14317378472019693,0.07264264299296555,0.07053114172723136,0.6406131519697623,0.32632610445515103,0.31428704751461134,0.21621306331004073,0.06289007361090047,0.15332298969914024,5226,2651,2575,6149,3091,3058,14031,7081,6950,30471,15168,15303,10513,5272,5241,132.0,0.25,0.0,0.007575758,0.12121212099999999,0.0,0.621212121,0.0,0.0,0.0,132.0,0.0,0.007575758,0.106060606,0.8409090909999999,0.045454545
Nagatino-Sadovniki,7750777.821,76284,0.094680962,0.31392455199999997,4935,2508,4,4625,5254,6,0,3855.0,2,0,10,3,0,0,10,11,0,0,0,1,0,0,0,0,76156,34822,41334,0.13329138482512715,0.07002779088668659,0.06326359393844057,0.6040585181689476,0.30442818939751454,0.2996303287714331,0.26265009700592523,0.07386870116931467,0.18878139583661055,4935,2595,2340,4625,2446,2179,11461,6027,5434,19547,9638,9909,8992,4724,4268,189.0,0.222222222,0.0,0.0,0.497354497,0.021164021,0.25925925899999996,0.0,0.0,0.0,186.0,0.0,0.016129031999999998,0.682795699,0.247311828,0.053763440999999995
