"","1"
"2",1831809.25160217
"3",913329.662023503
"4",1666037.11302907
"5",526894.391908107
"6",1022585.30174641
"7",5132166.2491778
"8",1724086.77369952
"9",452723.797620861
"10",1149297.81412286
"11",585112.795381027
"12",2417320.144623
"13",982393.125885733
"14",721906.766771941
"15",810752.345544764
"16",1200091.93864313
"17",683554.035152799
"18",1576146.22159331
"19",3875830.92687093
"20",1100807.38882463
"21",2864947.25357623
"22",727944.128743618
"23",3531205.81741547
"24",2182966.93620894
"25",1773621.69884492
"26",1047642.16404098
"27",5450162.21346208
"28",2281910.09835969
"29",2888919.88016969
"30",1222294.02926983
"31",10440753.185135
"32",1553643.22413006
"33",1566508.10481435
"34",363787.200062553
"35",784669.504032566
"36",1211466.5139472
"37",1873782.2892534
"38",1732194.34586905
"39",2050381.06064425
"40",2960257.20800846
"41",1613558.30994091
"42",445445.89852212
"43",1598004.08212861
"44",645716.089274019
"45",6698118.98244601
"46",20254965.8771047
"47",3373229.60002318
"48",2101365.30975879
"49",18631211.9494044
"50",934806.520905798
"51",3367717.5093494
"52",3026138.55574672
"53",75077823.0889405
"54",805236.934081939
"55",554757.524400647
"56",1535443.33256681
"57",3959789.18536127
"58",2459268.73938643
"59",5140021.49232016
"60",684485.762995619
"61",2855781.92873717
"62",458141.724891813
"63",1755300.41970952
"64",587614.262178624
"65",2830424.19424257
"66",6973620.45185255
"67",9038988.75110314
"68",1742147.14043861
"69",6812659.36503413
"70",161350.510728431
"71",4111495.48708506
"72",1964091.53658238
"73",16692894.8256222
"74",907970.317630325
"75",2485697.12496378
"76",622123.815854718
"77",1062829.81395491
"78",2214886.27439493
"79",795039.925334408
"80",116958.447971824
"81",19053223.89233
"82",2280077.46774135
"83",1764928.09337387
"84",5987082.39468434
"85",2241942.9994457
"86",2936440.40631124
"87",16089033.7908402
"88",11810364.4844625
"89",1794783.92256103
"90",4354336.13011502
"91",592385.873723652
"92",1858035.81884162
"93",836340.274155958
"94",667166.473065185
"95",114022.555251204
"96",17285610.6204105
"97",4156789.61579981
"98",3686295.38565606
"99",1542850.83945982
"100",912868.686460853
"101",2421539.52533118
"102",2971180.66881039
"103",5194385.56250214
"104",3179492.37212334
"105",1089121.12374237
"106",414158.810210652
"107",2190683.35763205
"108",535380.403886916
"109",1631618.11030414
"110",10706721.9691863
"111",724940.740322142
"112",2386961.85439518
"113",645765.767164257
"114",1861056.94061936
"115",849097.427831874
"116",5824421.48489061
"117",1657516.81817248
"118",2713015.27345808
"119",2652235.40741585
"120",3067530.49327723
"121",2013548.34686984
"122",1275506.82464748
"123",4537131.45935458
"124",160334.939796022
"125",2307632.69054691
"126",1761774.99835867
"127",3485422.82279303
"128",504343.636619268
"129",2309418.62785998
"130",100596.390102451
"131",3135323.05833274
"132",2500512.13454011
"133",2364330.16884319
"134",6207939.68106968
"135",3150154.03799637
"136",789510.489478688
"137",660325.139381572
"138",812947.639383145
"139",1230170.45491705
"140",1770500.04571272
"141",2416242.76603121
"142",1320558.57581137
"143",1692409.52487993
"144",1402466.20120076
"145",3366236.51011823
"146",2275635.0446418
"147",500018.242119339
"148",454732.946573051
"149",6181914.13186261
"150",24409761.0865482
"151",2469299.50674158
"152",717865.794509183
"153",842516.996214503
"154",9534489.78553894
"155",2461224.77346026
"156",2361152.68649116
"157",1636222.66310823
"158",535203.152433011
"159",552045.084499327
"160",320561.09959445
"161",3267831.25352069
"162",2592956.89858331
"163",1808206.84594795
"164",1233787.62412898
"165",1700035.46054803
"166",5951332.68377479
"167",3672903.92051509
"168",561812.185489215
"169",1440538.92720242
"170",2154695.19729595
"171",1883831.45830257
"172",1778332.67078578
"173",921161.615267942
"174",2149010.79641428
"175",949496.718966149
"176",6896353.70683474
"177",157204.494066645
"178",2141791.26434635
"179",588501.128739348
"180",576854.078810761
"181",2696794.98944341
"182",718809.759719175
"183",15439206.8102389
"184",718430.051841343
"185",2955810.50184769
"186",1343154.03737995
"187",706565.712221856
"188",3018446.87676647
"189",3906616.77039593
"190",1599401.01223389
"191",3809988.40566578
"192",19036375.7390479
"193",685786.020639571
"194",235598.441681473
"195",642047.000822537
"196",1819594.37807588
"197",905619.894106818
"198",1223591.04801478
"199",2384139.53700059
"200",11707831.7743392
"201",1989452.28888579
"202",12715345.3614926
"203",104022.801468206
"204",1414676.23919809
"205",2684053.71602391
"206",1378945.60970227
"207",2776548.4804318
"208",2690967.04811694
"209",1346858.26322685
"210",2030363.69179621
"211",1614045.16645674
"212",12347011.8278806
"213",3903486.70061161
"214",1613013.68211594
"215",989625.591291184
"216",919849.057219997
"217",30303418.0242256
"218",7050012.90681402
"219",3143601.64887504
"220",7510280.79754803
"221",1178762.16513968
"222",5284731.84288943
"223",1154900.5577645
"224",23954463.9088778
"225",20186373.091125
"226",7343423.77813561
"227",3179359.31065144
"228",862299.57052453
"229",1818484.9726721
"230",2434187.3625639
"231",764301.929928754
"232",3133363.69277694
"233",11295111.991622
"234",8850055.96054655
"235",341411.898468828
"236",2154927.12012559
"237",2588599.01148429
"238",1452755.72318124
"239",970428.7257745
"240",663423.696025812
"241",13879400.0268493
"242",2451535.48885476
"243",1028003.55840873
"244",1797066.8994257
"245",5724952.56782921
"246",2713605.57531892
"247",1738255.83729061
"248",4977536.6645728
"249",60047457.6520559
"250",1425763.95722571
"251",410562.182881947
"252",3119950.69487138
"253",1341422.24335005
"254",2166988.22404717
"255",1498114.33379159
"256",1826880.3342132
"257",285501.041730775
"258",2401806.91696655
"259",1910673.18655558
"260",2373874.24815536
"261",10784299.5785306
"262",3276285.54392158
"263",529656.195253568
"264",722268.070745753
"265",7659415.77350709
"266",7472410.18403726
"267",245434.024579931
"268",621461.712510443
"269",1121250.94929405
"270",2034097.8289145
"271",968245.303539698
"272",1524986.74976911
"273",1570618.0425258
"274",605234.382699119
"275",25118569.5711958
"276",1552652.13768387
"277",6266781.79378561
"278",579516.132584687
"279",798391.909857015
"280",1780874.89855552
"281",1405995.01288292
"282",2536876.20585405
"283",1020938.25118404
"284",1079216.72525278
"285",1441385.96454001
"286",7855315.3073963
"287",4171107.14481289
"288",940691.090275455
"289",5087962.12842677
"290",640324.344284099
"291",3011020.2015516
"292",745999.048390928
"293",1903672.77510012
"294",323474.747266918
"295",6029538.12674525
"296",1260439.03762883
"297",1638653.68354433
"298",652921.210828585
"299",730664.236036386
"300",2466977.17793072
"301",1240527.41626645
"302",2003501.9625207
"303",11348641.6585614
"304",2139167.70245193
"305",665232.195662734
"306",2633649.40767652
"307",2700276.49461804
"308",3450666.57876405
"309",2399463.28145608
"310",2162461.55526492
"311",639380.383079717
"312",541169.595014654
"313",2444151.07641903
"314",1676302.2039953
"315",1378278.60901574
"316",610579.043959418
"317",1492776.11466289
"318",9049946.51743268
"319",3054876.899335
"320",3295236.96970043
"321",11545989.5179318
"322",37894406.342908
"323",4814984.18322877
"324",1971751.56624463
"325",3968018.26129307
"326",935585.893147136
"327",1679069.63469164
"328",5953699.05744977
"329",1625682.428708
"330",16179316.5766879
"331",1019103.75632228
"332",603856.265094798
"333",22114723.5843161
"334",4025803.7917506
"335",1677522.21408142
"336",4285101.34651589
"337",1025669.96363445
"338",2451675.95635741
"339",571996.327143755
"340",1392863.54880267
"341",1989851.67209902
"342",462947.30318135
"343",1272667.15090318
"344",2824138.45745996
"345",61225.2193718158
"346",2960505.13677545
"347",1956099.95864788
"348",1794047.10193656
"349",1881647.7739933
"350",15559817.4135085
"351",1686505.03016176
"352",720769.344529801
"353",3137407.45130598
"354",9808816.09733179
"355",2781980.34566869
"356",1320729.34041912
"357",2018498.26885056
"358",1578083.73507085
"359",2680507.68098799
"360",1214221.33716175
"361",2102432.73409829
"362",754610.52814757
"363",3128653.99936865
"364",755437.333166497
"365",971096.409117501
"366",3859735.47127985
"367",7400051.84215404
"368",1744989.06566688
"369",9071988.76476738
"370",2584843.42980409
"371",2777428.97753024
"372",2368634.73376657
"373",2908518.92313846
"374",2181521.40315888
"375",2477713.34571103
"376",1095596.55947836
"377",1000820.87115961
"378",636430.101601838
"379",586122.88398576
"380",1604717.5440157
"381",912191.493261141
"382",2775136.92735245
"383",2291756.20597745
"384",3842742.61684908
"385",1623141.96544065
"386",1896728.36398076
"387",546988.372828544
"388",2690854.74327097
"389",5839400.43767342
"390",6736890.35659966
"391",341104.572577445
"392",2750452.53342731
"393",3480100.00015796
"394",3766111.83388295
"395",5635739.67939854
"396",3261272.465099
"397",2526159.10398611
"398",23530113.6923168
"399",5121267.59625505
"400",567621.156965586
"401",744762.255486373
"402",5288230.40025971
"403",880851.431146026
"404",885416.096208246
"405",11767478.9554521
"406",561403.364514514
"407",3739728.74075564
"408",1342646.96379278
"409",74681.9528606352
"410",1857309.29255064
"411",1034923.58690298
"412",607647.12163427
"413",2713663.09801162
"414",712334.962968527
"415",1297198.30699326
"416",1111011.26715696
"417",1992811.05733264
"418",2799669.44472893
"419",253978.657617828
"420",339006.700861504
"421",1919442.5282631
"422",2853383.50454211
"423",821975.556344832
"424",2403926.12110992
"425",4215316.43653925
"426",2194908.18573837
"427",4446533.34295157
"428",750032.3617147
"429",3317554.23402483
"430",112028.542749153
"431",10091537.4370681
"432",2156789.76171625
"433",594001.85166174
"434",3454154.65801537
"435",4642986.29907204
"436",394465.649964264
"437",2610641.15970088
"438",836508.745047044
"439",1074082.46759358
"440",2465806.81514916
"441",86295637.283597
"442",2462087.70272549
"443",37381682.794391
"444",518227.503222036
"445",13484683.6763127
"446",1880402.40860426
"447",686063.625485633
"448",2119355.4853082
"449",801391.971914864
"450",6654867.51608484
"451",539671.676860304
"452",2426134.34613182
"453",4627781.96775727
"454",2217830.42374125
"455",1516884.4880083
"456",3247471.20646593
"457",2373251.06100459
"458",2635890.99562314
"459",3039761.80454774
